Timestamp,Action,Price,CA
2025-02-12 01:32:55,SELL,0.00041,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:34:04,BUY,0.00042,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:34:51,SELL,0.00052,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:35:45,SELL,0.00059,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:36:03,SELL,0.00055,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:36:52,BUY,0.00061,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:36:53,BUY,0.00061,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:43:45,BUY,0.00053,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:47:09,SELL,0.00038,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:48:08,BUY,0.00038,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:55:41,BUY,0.00027,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 01:58:00,SELL,0.00033,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 02:23:15,SELL,0.00018,9PSRPhTMfY31LxZGEdmAmUS9rAFo68CBohMkAtsZY9BW
2025-02-12 02:45:06,BUY,0.0,HGwxPoPFKxveH9qA8A8L6tiQUEFwmDhuSxjcjBDpRz6b
2025-02-12 02:48:35,SELL,0.0,HGwxPoPFKxveH9qA8A8L6tiQUEFwmDhuSxjcjBDpRz6b
2025-02-12 02:50:22,BUY,0.0,7Pysq34YHx2spjRVAKXU6TiJTPmpkmiToYAsnaMdHNob
2025-02-12 02:55:00,SELL,0.0,7Pysq34YHx2spjRVAKXU6TiJTPmpkmiToYAsnaMdHNob
2025-02-12 02:55:38,BUY,0.0,HGwxPoPFKxveH9qA8A8L6tiQUEFwmDhuSxjcjBDpRz6b
2025-02-12 03:00:04,BUY,0.00058,F14hCmEKjcaXobNE2fMdRX9EcetC2oNuiZVjpce1iohE
2025-02-12 03:00:10,BUY,0.0005,F14hCmEKjcaXobNE2fMdRX9EcetC2oNuiZVjpce1iohE
2025-02-12 03:00:18,BUY,0.00049,F14hCmEKjcaXobNE2fMdRX9EcetC2oNuiZVjpce1iohE
2025-02-12 03:04:24,SELL,0.00029,F14hCmEKjcaXobNE2fMdRX9EcetC2oNuiZVjpce1iohE
2025-02-12 03:06:29,SELL,0.00026,F14hCmEKjcaXobNE2fMdRX9EcetC2oNuiZVjpce1iohE
2025-02-12 03:20:30,BUY,0.0002,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:21:54,BUY,0.00019,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:24:56,BUY,0.00017,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:25:02,BUY,0.00017,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
2025-02-12 03:25:19,BUY,0.00017,2zgRYw8ksB9iANCQY72YR1yDXv7oBYcjxBug5zTCpump
